"","Id","ActivityDate","TotalSteps","TotalDistance","TrackerDistance","LoggedActivitiesDistance","VeryActiveDistance","ModeratelyActiveDistance","LightActiveDistance","SedentaryActiveDistance","VeryActiveMinutes","FairlyActiveMinutes","LightlyActiveMinutes","SedentaryMinutes","Calories","dfTime","stepsDistanceRatio","sum"
"1",1503960366,"4/12/2016",13162,8.5,8.5,0,1.87999999523163,0.550000011920929,6.05999994277954,0,25,13,328,728,1985,2016-04-12,1548.47058823529,8.4899999499321
"2",1503960366,"4/13/2016",10735,6.96999979019165,6.96999979019165,0,1.57000005245209,0.689999997615814,4.71000003814697,0,21,19,217,776,1797,2016-04-13,1540.17221278924,6.97000008821487
"3",1503960366,"4/14/2016",10460,6.73999977111816,6.73999977111816,0,2.44000005722046,0.400000005960464,3.91000008583069,0,30,11,181,1218,1776,2016-04-14,1551.92883608432,6.75000014901161
"4",1624580081,"4/12/2016",8163,5.30999994277954,5.30999994277954,0,0,0,5.30999994277954,0,0,0,146,1294,1432,2016-04-12,1537.28815215901,5.30999994277954
"5",1624580081,"4/13/2016",7007,4.55000019073486,4.55000019073486,0,0,0,4.55000019073486,0,0,0,148,1292,1411,2016-04-13,1539.99993544359,4.55000019073486
"6",1624580081,"4/14/2016",9107,5.92000007629395,5.92000007629395,0,0,0,5.90999984741211,0.00999999977648258,0,0,236,1204,1572,2016-04-14,1538.34457476919,5.91999984718859
"7",1644430081,"4/12/2016",10694,7.76999998092651,7.76999998092651,0,0.140000000596046,2.29999995231628,5.32999992370605,0,2,51,256,1131,3199,2016-04-12,1376.31917969771,7.76999987661838
"8",1644430081,"4/13/2016",8001,5.82000017166138,5.82000017166138,0,2.27999997138977,0.899999976158142,2.64000010490417,0,30,16,135,1259,2902,2016-04-13,1374.7422274931,5.82000005245208
"9",1644430081,"4/14/2016",11037,8.02000045776367,8.02000045776367,0,0.360000014305115,2.55999994277954,5.09999990463257,0,5,58,252,1125,3226,2016-04-14,1376.18446010383,8.01999986171723
"10",1844505072,"4/12/2016",6697,4.42999982833862,4.42999982833862,0,0,0,4.42999982833862,0,0,0,339,1101,2030,2016-04-12,1511.73820756367,4.42999982833862
"11",1844505072,"4/13/2016",4929,3.25999999046326,3.25999999046326,0,0,0,3.25999999046326,0,0,0,248,1192,1860,2016-04-13,1511.96319460712,3.25999999046326
"12",1844505072,"4/14/2016",7937,5.25,5.25,0,0,0,5.23000001907349,0,0,0,373,843,2130,2016-04-14,1511.80952380952,5.23000001907349
"13",1927972279,"4/12/2016",678,0.469999998807907,0.469999998807907,0,0,0,0.469999998807907,0,0,0,55,734,2220,2016-04-12,1442.55319514821,0.469999998807907
"14",1927972279,"4/13/2016",356,0.25,0.25,0,0,0,0.25,0,0,0,32,986,2151,2016-04-13,1424,0.25
"15",1927972279,"4/14/2016",2163,1.5,1.5,0,0,0.400000005960464,1.10000002384186,0,0,9,88,1292,2383,2016-04-14,1442,1.50000002980232
"16",2022484408,"4/12/2016",11875,8.34000015258789,8.34000015258789,0,3.30999994277954,0.769999980926514,4.26000022888184,0,42,14,227,1157,2390,2016-04-12,1423.86088522015,8.34000015258789
"17",2022484408,"4/13/2016",12024,8.5,8.5,0,2.99000000953674,0.100000001490116,5.40999984741211,0,43,5,292,1100,2601,2016-04-13,1414.58823529412,8.49999985843897
"18",2022484408,"4/14/2016",10690,7.5,7.5,0,2.48000001907349,0.209999993443489,4.82000017166138,0,32,3,257,1148,2312,2016-04-14,1425.33333333333,7.51000018417836
"19",2026352035,"4/12/2016",4414,2.74000000953674,2.74000000953674,0,0.189999997615814,0.349999994039536,2.20000004768372,0,3,8,181,706,1459,2016-04-12,1610.94889950248,2.74000003933907
"20",2026352035,"4/13/2016",4993,3.09999990463257,3.09999990463257,0,0,0,3.09999990463257,0,0,0,238,663,1521,2016-04-13,1610.64521083971,3.09999990463257
"21",2026352035,"4/14/2016",3335,2.0699999332428,2.0699999332428,0,0,0,2.04999995231628,0,0,0,197,653,1431,2016-04-14,1611.11116306921,2.04999995231628
"22",2320127002,"4/12/2016",10725,7.48999977111816,7.48999977111816,0,1.16999995708466,0.310000002384186,6.01000022888184,0,13,9,306,1112,2124,2016-04-12,1431.90925603979,7.49000018835069
"23",2320127002,"4/13/2016",7275,4.90000009536743,4.90000009536743,0,0,0,4.90000009536743,0,0,0,335,1105,2003,2016-04-13,1484.69384865481,4.90000009536743
"24",2320127002,"4/14/2016",3973,2.6800000667572,2.6800000667572,0,0,0,2.6800000667572,0,0,0,191,1249,1696,2016-04-14,1482.4626496399,2.6800000667572
"25",2347167796,"4/12/2016",10113,6.82999992370605,6.82999992370605,0,2,0.620000004768372,4.19999980926514,0,28,13,320,964,2344,2016-04-12,1480.67351580768,6.81999981403351
"26",2347167796,"4/13/2016",10352,7.01000022888184,7.01000022888184,0,1.6599999666214,1.94000005722046,3.41000008583069,0,19,32,195,676,2038,2016-04-13,1476.7474553494,7.01000010967255
"27",2347167796,"4/14/2016",10129,6.69999980926514,6.69999980926514,0,0.0199999995529652,2.74000000953674,3.94000005722046,0,1,48,206,705,2010,2016-04-14,1511.79108781362,6.70000006631017
"28",2873212765,"4/12/2016",8796,5.90999984741211,5.90999984741211,0,0.109999999403954,0.930000007152557,4.88000011444092,0,2,21,356,1061,1982,2016-04-12,1488.3249115229,5.92000012099743
"29",2873212765,"4/13/2016",7618,5.11999988555908,5.11999988555908,0,0,0.219999998807907,4.88000011444092,0.0199999995529652,0,8,404,1028,2004,2016-04-13,1487.89065825695,5.12000011280179
"30",2873212765,"4/14/2016",7910,5.32000017166138,5.32000017166138,0,0,0,5.32000017166138,0,0,0,331,1109,1893,2016-04-14,1486.84205728696,5.32000017166138
"31",3372868164,"4/12/2016",4747,3.24000000953674,3.24000000953674,0,0,0,3.23000001907349,0.00999999977648258,0,0,280,1160,1788,2016-04-12,1465.12345247762,3.24000001884997
"32",3372868164,"4/13/2016",9715,6.63000011444092,6.63000011444092,0,0.990000009536743,0.340000003576279,5.26999998092651,0.0199999995529652,16,8,371,1045,2093,2016-04-13,1465.30917531051,6.6199999935925
"33",3372868164,"4/14/2016",8844,6.03000020980835,6.03000020980835,0,0.340000003576279,1.02999997138977,4.65000009536743,0.00999999977648258,6,25,370,1039,2065,2016-04-14,1466.66661563534,6.03000007010996
"34",3977333714,"4/12/2016",8856,5.98000001907349,5.98000001907349,0,3.05999994277954,0.910000026226044,2.00999999046326,0,44,19,131,777,1450,2016-04-12,1480.93645012598,5.97999995946884
"35",3977333714,"4/13/2016",10035,6.71000003814697,6.71000003814697,0,2.02999997138977,2.13000011444092,2.54999995231628,0,31,46,153,754,1495,2016-04-13,1495.52905260061,6.71000003814697
